"","X.1","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"57",57,57,"BONA_084-M-5-10.5-20190830","2019-08-30 11:30:00","BONA_084-M-5-10.5",0.563,0.265,0.828,-0.014,0.001,"BONA","BONA_084-M","BONA_084","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,171722.468571429,1717224685.71429,1717.22468571429,1.71722468571429
"58",58,58,"BONA_084-O-13.5-34-20190830","2019-08-31 00:26:00","BONA_084-O-13.5-34",1.61,0.447,2.057,0.126,0.091,"BONA","BONA_084-O","BONA_084","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,426610.045714286,4266100457.14286,4266.10045714286,4.26610045714286
"59",59,59,"BONA_084-O-20.5-9.5-20190830","2019-08-30 23:33:00","BONA_084-O-20.5-9.5",5.995,0.733,6.728,-0.261,-0.006,"BONA","BONA_084-O","BONA_084","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,1395348.75428571,13953487542.8571,13953.4875428571,13.9534875428571
"60",60,60,"BONA_084-O-5-10.5-20190830","2019-08-30 11:30:00","BONA_084-O-5-10.5",3.667,0.449,4.115,0.107,0.047,"BONA","BONA_084-O","BONA_084","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,853427.485714286,8534274857.14286,8534.27485714286,8.53427485714286
"61",61,61,"DEJU_001-M-2-34.5-20180619","2018-06-19 19:36:00","DEJU_001-M-2-34.5",NA,NA,NA,NA,NA,"DEJU","DEJU_001-M","DEJU_001","M",NA,1.173125,1.173125,10000,3e+05,351937.5,NA,NA,NA,NA
"62",62,62,"DEJU_001-M-20.5-37.5-20180619","2018-06-19 20:24:00","DEJU_001-M-20.5-37.5",NA,NA,NA,NA,NA,"DEJU","DEJU_001-M","DEJU_001","M",NA,1.173125,1.173125,10000,3e+05,351937.5,NA,NA,NA,NA
"63",63,63,"DEJU_001-M-21-20230628","2023-06-29 02:24:00","DEJU_001-M-21-peakGreenness-2023",0.673,0.021,0.694,-0.004,-0.001,"DEJU","DEJU_001-M","DEJU_001","M",NA,1.173125,1.173125,10000,3e+05,351937.5,244244.625,2442446250,2442.44625,2.44244625
"64",64,64,"DEJU_001-M-23-20230628","2023-06-29 02:48:00","DEJU_001-M-23-peakGreenness-2023",0.69,1.714,2.404,-0.046,-0.038,"DEJU","DEJU_001-M","DEJU_001","M",NA,1.173125,1.173125,10000,3e+05,351937.5,846057.75,8460577500,8460.5775,8.4605775
"65",65,65,"DEJU_001-M-24.5-6.5-20180619","2018-06-19 21:04:00","DEJU_001-M-24.5-6.5",NA,NA,NA,NA,NA,"DEJU","DEJU_001-M","DEJU_001","M",NA,1.173125,1.173125,10000,3e+05,351937.5,NA,NA,NA,NA
"66",66,66,"DEJU_001-M-41-20230628","2023-06-29 03:03:00","DEJU_001-M-41-peakGreenness-2023",0.55,0.607,1.157,0.039,0.022,"DEJU","DEJU_001-M","DEJU_001","M",NA,1.173125,1.173125,10000,3e+05,351937.5,407191.6875,4071916875,4071.916875,4.071916875
