"","siteID","plotID","totalSampledAreaTrees","plot.AGB","AGB.kg.m2","AGB.Mg.ha","AGB.C.Mg.ha","mean.root.MgC.ha","total.carbon","soil.C.Mg.ha"
"120","JERC","JERC_028",NA,NA,NA,NA,NA,NA,9324.26,93.2426
"121","JERC","JERC_029",NA,NA,NA,NA,NA,NA,4349.06,43.4906
"122","JERC","JERC_030",NA,NA,NA,NA,NA,NA,4854.5,48.545
"123","JERC","JERC_031",NA,NA,NA,NA,NA,NA,4677.91,46.7791
"124","JERC","JERC_033",NA,NA,NA,NA,NA,NA,7755.7,77.557
"125","JERC","JERC_034",NA,NA,NA,NA,NA,NA,6140.7,61.407
"126","JERC","JERC_035",NA,NA,NA,NA,NA,NA,6420.45,64.2045
"127","OSBS","OSBS_005",NA,NA,NA,NA,NA,NA,16250.8,162.508
"128","OSBS","OSBS_010",NA,NA,NA,NA,NA,NA,3968.1,39.681
"129","OSBS","OSBS_011",NA,NA,NA,NA,NA,NA,7176.66,71.7666
"130","OSBS","OSBS_013",NA,NA,NA,NA,NA,NA,3394.21,33.9421
"131","OSBS","OSBS_014",NA,NA,NA,NA,NA,NA,3996.435,39.96435
"132","OSBS","OSBS_016",NA,NA,NA,NA,NA,NA,15782.16,157.8216
"133","OSBS","OSBS_017",NA,NA,NA,NA,NA,NA,44529.6366666667,445.296366666667
"134","OSBS","OSBS_018",NA,NA,NA,NA,NA,NA,10312.32,103.1232
"135","OSBS","OSBS_020",NA,NA,NA,NA,NA,NA,25044.01,250.4401
"136","OSBS","OSBS_021",NA,NA,NA,NA,NA,NA,30465.94,304.6594
"137","OSBS","OSBS_024",NA,NA,NA,NA,NA,NA,25320.1,253.201
"138","OSBS","OSBS_048",NA,NA,NA,NA,NA,NA,4289.44,42.8944
"139","OSBS","OSBS_050",NA,NA,NA,NA,NA,NA,7173.82,71.7382
